Number Date Time Interface Origin Type Action Service "Source Port" Source Destination Protocol Rule "Rule Name" "Current Rule Number" User Information Product "Source Machine Name" "Source User Name" "Received Bytes" "Sent Bytes"
3280 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.dotster.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 1304657 1500247
45 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 news.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1229691000 803828000
82 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 groups.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1929945000 1116755000
134 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 translate.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1519550000 4032767000
284 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 translate.google.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 2002438000 232356000
376 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.google.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 1542736000 837284000
476 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 groups.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 2094268000 2786979000
478 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 encrypted.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 70943000 2326641000
624 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.google.com/transparencyreport tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 682243000 18112000
696 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 docs.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1219737000 197439000
765 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 groups.google.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 106356000 436032000
776 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 translate.google.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 2088321000 2320501000
801 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.google.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 296943000 3046433000
871 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 news.google.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 563853000 2595616000
908 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 news.google.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 460095000 571473000
1025 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 plus.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 612029000 2305259000
1040 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 314278000 85569000
1044 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 plus.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 359483000 3244026000
1046 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 132372000 574207000
1051 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 groups.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 606144000 2879608000
1066 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.google.com/transparencyreport tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 403354000 2364105000
1167 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 picasa.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1640465000 1726593000
1168 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 sites.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 823959000 986284000
